subject;class;day;day_of_week;start_time;end_time;; 
Математика Углубленный уровень;"7 класс;";12.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"7 класс;";19.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"7 класс;";26.10.2023;Понедельник;16:00;17:30;;
Математика ДФО;"7 класс;";09.10.2023;Понедельник;11:00;12:30;;
Математика ДФО;"7 класс;";16.10.2023;Понедельник;11:00;12:30;;
Математика ДФО;"7 класс;";23.10.2023;Понедельник;11:00;12:30;;
Математика ДФО;"7 класс;";30.10.2023;Понедельник;11:00;12:30;;
Математика Базовый уровень;"7 класс;";09.10.2023;Понедельник;14:00;15:30;;
Математика Базовый уровень;"7 класс;";16.10.2023;Понедельник;14:00;15:30;;
Математика Базовый уровень;"7 класс;";23.10.2023;Понедельник;14:00;15:30;;
Математика Базовый уровень;"7 класс;";30.10.2023;Понедельник;14:00;15:30;;
Математика Углубленный уровень;"8 класс;";09.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"8 класс;";16.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"8 класс;";23.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"8 класс;";30.10.2023;Понедельник;16:00;17:30;;
Математика ДФО;"8 класс;";13.10.2023;Пятница;10:00;11:30;;
Математика ДФО;"8 класс;";20.10.2023;Пятница;10:00;11:30;;
Математика ДФО;"8 класс;";27.10.2023;Пятница;10:00;11:30;;
Математика Базовый уровень;"8 класс;";09.10.2023;Понедельник;14:00;17:30;;
Математика Базовый уровень;"8 класс;";16.10.2023;Понедельник;14:00;17:30;;
Математика Базовый уровень;"8 класс;";23.10.2023;Понедельник;14:00;17:30;;
Математика Базовый уровень;"8 класс;";30.10.2023;Понедельник;14:00;17:30;;
Математика Углубленный уровень;"9 класс;";09.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"9 класс;";16.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"9 класс;";23.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"9 класс;";30.10.2023;Понедельник;16:00;17:30;;
Математика ДФО;"9 класс;";14.10.2023;Суббота;12:00;13:30;;
Математика ДФО;"9 класс;";21.10.2023;Суббота;12:00;13:30;;
Математика ДФО;"9 класс;";28.10.2023;Суббота;12:00;13:30;;
Математика Углубленный уровень;"10 класс;";09.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"10 класс;";16.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"10 класс;";23.10.2023;Понедельник;16:00;17:30;;
Математика Углубленный уровень;"10 класс;";30.10.2023;Понедельник;16:00;17:30;;
Математика ЕГЭ;"11 класс;";13.10.2023;Пятница;14:00;15:30;;
Математика ЕГЭ;"11 класс;";20.10.2023;Пятница;14:00;15:30;;
Математика ЕГЭ;"11 класс;";27.10.2023;Пятница;14:00;15:30;;
Математика Базовый уровень;"9 класс;";12.10.2023;Четверг;15:00;16:30;;
Математика Базовый уровень;"9 класс;";19.10.2023;Четверг;15:00;16:30;;
